model_id,n_samples,mean_flux,q05,q50,q95,p_grows,point_estimate_flux,point_in_ci95
GCF_000006725.1,50,1.641244,0.000000,0.000000,27.354068,0.0600,0.000000,1
GCF_000007465.2,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000007845.1,50,54.841378,43.982724,55.606157,55.606157,1.0000,55.606157,1
GCF_000008165.1,50,74.750496,64.445032,76.024237,76.024237,1.0000,76.024237,1
GCF_000008525.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000009905.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000009985.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000011305.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000014005.1,50,56.490280,39.879064,61.550718,61.550718,1.0000,61.550718,1
GCF_000014285.1,50,4.279632,0.000000,0.000000,53.778707,0.0800,0.000000,1
GCF_000014405.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000014425.1,50,14.073647,0.000000,0.000000,30.810185,0.4600,0.000000,1
GCF_000014965.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000015745.1,50,32.039862,0.000000,54.303026,54.303026,0.6000,54.303026,1
GCF_000016745.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000018865.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000020525.1,50,18.835276,0.000000,30.657684,35.636166,0.5400,35.636166,1
GCF_000020545.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000021045.1,50,80.631970,59.122549,87.534719,87.534719,1.0000,87.534719,1
GCF_000021805.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000022565.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000023745.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000024945.1,50,25.014463,0.000000,40.067072,48.426244,0.5200,48.426244,1
GCF_000025185.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000025265.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000025945.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000092365.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000143845.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000177635.2,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000179915.2,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000180175.2,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000183405.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000183745.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000194135.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000195855.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000196135.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000196355.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000227745.2,50,5.841907,0.000000,0.000000,59.521633,0.1000,0.000000,1
GCF_000233715.2,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000241025.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000253035.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000266885.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000270285.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000283635.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000284095.1,50,28.622406,0.000000,47.882892,53.707405,0.5400,53.707405,1
GCF_000284315.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000298115.2,50,18.674031,0.000000,29.002842,29.002842,0.6400,0.000000,1
GCF_000307165.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000507245.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000522545.2,50,66.889763,0.000000,73.205192,73.205192,0.9200,73.205192,1
GCF_000525675.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000599545.1,50,70.680917,65.362441,72.525536,73.160342,1.0000,73.160342,1
GCF_000599985.1,50,42.743091,42.319892,42.319892,42.319892,1.0000,42.319892,1
GCF_000632475.1,50,55.556558,0.000000,59.521633,59.521633,0.9400,59.521633,1
GCF_000725345.1,50,32.421089,0.000000,48.426244,48.426244,0.6800,48.426244,1
GCF_000746585.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000756615.1,50,5.168122,0.000000,0.000000,53.770798,0.1000,0.000000,1
GCF_000766665.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000953635.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000973725.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_001020955.1,50,2.090972,0.000000,0.000000,0.000000,0.0400,0.000000,1
GCF_001021065.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_001042635.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_001262075.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_001443605.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_001610875.1,50,13.162764,0.000000,0.000000,59.830747,0.2200,0.000000,1
GCF_001659705.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_001682195.2,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_001688725.2,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_001688905.2,50,37.839359,0.000000,0.000000,77.285654,0.5000,76.194245,1
GCF_001746835.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_001880285.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_001888165.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_002005425.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_002021985.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_002022605.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_002127965.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_002162355.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_002302395.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_003073475.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_003097575.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_003143555.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_003261295.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_003261575.2,50,95.047036,85.926709,97.745447,97.745447,1.0000,97.745447,1
GCF_003441595.1,50,6.104803,0.000000,0.000000,61.536442,0.1000,0.000000,1
GCF_003660165.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_003966365.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_004114615.1,50,2.891758,0.000000,0.000000,29.436151,0.1000,0.000000,1
GCF_004299785.2,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_004551665.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_005221305.1,50,3.571691,0.000000,0.000000,49.376864,0.0800,0.000000,1
GCF_008118345.1,50,60.873354,42.223786,62.872000,62.872000,1.0000,62.872000,1
GCF_008805035.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_009649955.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_009662475.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_009688965.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_009688985.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_010669225.1,50,26.632496,0.000000,43.712178,47.434910,0.5800,46.106279,1
GCF_012222825.1,50,0.566377,0.000000,0.000000,0.000000,0.0200,0.000000,1
GCF_900186975.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
