assembly_accession,current_accession,organism_name,tax_id,assembly_name,status,superkingdom,kingdom,phylum,class,order,family,genus,species
GCF_000005825.2,GCF_000005825.2,Alkalihalophilus pseudofirmus OF4,398511,ASM582v2,resolved,Bacteria,Bacillati,Bacillota,Bacilli,Caryophanales,Bacillaceae,Alkalihalophilus,Alkalihalophilus pseudofirmus
GCF_000005845.2,GCF_000005845.2,Escherichia coli str. K-12 substr. MG1655,511145,ASM584v2,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
GCF_000006175.1,,,,,missing,,,,,,,,
GCF_000006605.1,GCF_000006605.1,Corynebacterium jeikeium K411,306537,ASM660v1,resolved,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium jeikeium
GCF_000006625.1,GCF_000006625.1,Ureaplasma parvum serovar 3 str. ATCC 700970,273119,ASM662v1,resolved,Bacteria,Bacillati,Mycoplasmatota,,Mycoplasmoidales,Mycoplasmoidaceae,Ureaplasma,Ureaplasma parvum
GCF_000006645.1,GCF_000006645.1,Yersinia pestis KIM10+,187410,ASM664v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pestis
GCF_000006685.1,GCF_000006685.1,Chlamydia muridarum str. Nigg,243161,ASM668v1,resolved,Bacteria,Pseudomonadati,Chlamydiota,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia muridarum
GCF_000006725.1,GCF_000006725.1,Xylella fastidiosa 9a5c,160492,ASM672v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Xylella,Xylella fastidiosa
GCF_000006745.1,GCF_000006745.1,Vibrio cholerae O1 biovar El Tor str. N16961,243277,ASM674v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio cholerae
GCF_000006765.1,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,ASM676v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
GCF_000006785.2,GCF_000006785.2,Streptococcus pyogenes M1 GAS,160490,ASM678v2,resolved,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pyogenes
GCF_000006805.1,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,ASM680v1,resolved,Archaea,Methanobacteriati,Methanobacteriota,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,Halobacterium salinarum
GCF_000006825.1,GCF_000006825.1,Pasteurella multocida subsp. multocida str. Pm70,272843,ASM682v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurella,Pasteurella multocida
GCF_000006845.1,GCF_000006845.1,Neisseria gonorrhoeae FA 1090,242231,ASM684v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria gonorrhoeae
GCF_000006865.1,GCF_000006865.1,Lactococcus lactis subsp. lactis Il1403,272623,ASM686v1,resolved,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus lactis
GCF_000006885.1,GCF_000006885.1,Streptococcus pneumoniae TIGR4,170187,ASM688v1,resolved,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pneumoniae
GCF_000006905.1,GCF_000006905.1,Caulobacter vibrioides CB15,190650,ASM690v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,Caulobacter vibrioides
GCF_000006925.2,GCF_000006925.2,Shigella flexneri 2a str. 301,198214,ASM692v2,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri
GCF_000006945.2,GCF_000006945.2,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,99287,ASM694v2,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
GCF_000006965.1,GCF_000006965.1,Sinorhizobium meliloti 1021,266834,ASM696v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Sinorhizobium,Sinorhizobium meliloti
GCF_000006985.1,GCF_000006985.1,Chlorobaculum tepidum TLS,194439,ASM698v1,resolved,Bacteria,Pseudomonadati,Chlorobiota,Chlorobiia,Chlorobiales,Chlorobiaceae,Chlorobaculum,Chlorobaculum tepidum
GCF_000007005.1,GCF_000007005.1,Saccharolobus solfataricus P2,273057,ASM700v1,resolved,Archaea,Thermoproteati,Thermoproteota,Thermoprotei,Sulfolobales,Sulfolobaceae,Saccharolobus,Saccharolobus solfataricus
GCF_000007025.1,GCF_000007025.1,Rickettsia conorii str. Malish 7,272944,ASM702v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia conorii
GCF_000007045.1,GCF_000007045.1,Streptococcus pneumoniae R6,171101,ASM704v1,resolved,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pneumoniae
GCF_000007065.1,GCF_000007065.1,Methanosarcina mazei Go1,192952,ASM706v1,resolved,Archaea,Methanobacteriati,Methanobacteriota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina mazei
GCF_000007085.1,GCF_000007085.1,Caldanaerobacter subterraneus subsp. tengcongensis MB4,273068,ASM708v1,resolved,Bacteria,Bacillati,Bacillota,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Caldanaerobacter,Caldanaerobacter subterraneus
GCF_000007105.1,GCF_000007105.1,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,264203,ASM710v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Zymomonadaceae,Zymomonas,Zymomonas mobilis
GCF_000007125.1,GCF_000007125.1,Brucella melitensis bv. 1 str. 16M,224914,ASM712v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella,Brucella melitensis
GCF_000007145.1,GCF_000007145.1,Xanthomonas campestris pv. campestris str. ATCC 33913,190485,ASM714v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Xanthomonas,Xanthomonas campestris
GCF_000007165.1,GCF_000007165.1,Xanthomonas citri subsp. citri 306,1203463,ASM716v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Xanthomonas,Xanthomonas citri
GCF_000007185.1,GCF_000007185.1,Methanopyrus kandleri AV19,190192,ASM718v1,resolved,Archaea,Methanobacteriati,Methanobacteriota,Methanopyri,Methanopyrales,Methanopyraceae,Methanopyrus,Methanopyrus kandleri
GCF_000007205.1,GCF_000007205.1,Chlamydia pneumoniae TW-183,182082,ASM720v1,resolved,Bacteria,Pseudomonadati,Chlamydiota,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia pneumoniae
GCF_000007225.1,GCF_000007225.1,Pyrobaculum aerophilum str. IM2,178306,ASM722v1,resolved,Archaea,Thermoproteati,Thermoproteota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,Pyrobaculum aerophilum
GCF_000007245.1,GCF_000007245.1,Xylella fastidiosa Temecula1,183190,ASM724v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Xylella,Xylella fastidiosa
GCF_000007265.1,GCF_000007265.1,Streptococcus agalactiae 2603V/R,208435,ASM726v1,resolved,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus agalactiae
GCF_000007285.1,GCF_000007285.1,Streptococcus pyogenes MGAS8232,186103,ASM728v1,resolved,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pyogenes
GCF_000007305.1,GCF_000007305.1,Pyrococcus furiosus DSM 3638,186497,ASM730v1,resolved,Archaea,Methanobacteriati,Methanobacteriota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,Pyrococcus furiosus
GCF_000007325.1,GCF_000007325.1,Fusobacterium nucleatum subsp. nucleatum ATCC 25586,190304,ASM732v1,resolved,Bacteria,Fusobacteriati,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium nucleatum
GCF_000007345.1,GCF_000007345.1,Methanosarcina acetivorans C2A,188937,ASM734v1,resolved,Archaea,Methanobacteriati,Methanobacteriota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina acetivorans
GCF_000007365.1,GCF_000007365.1,Buchnera aphidicola str. Sg (Schizaphis graminum),198804,ASM736v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Buchnera,Buchnera aphidicola
GCF_000007385.1,GCF_000007385.1,Xanthomonas oryzae pv. oryzae KACC 10331,291331,ASM738v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Xanthomonas,Xanthomonas oryzae
GCF_000007405.1,GCF_000007405.1,Shigella flexneri 2a str. 2457T,198215,ASM740v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri
GCF_000007425.1,GCF_000007425.1,Streptococcus pyogenes MGAS315,198466,ASM742v1,resolved,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pyogenes
GCF_000007445.1,GCF_000007445.1,Escherichia coli CFT073,199310,ASM744v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
GCF_000007465.2,GCF_000007465.2,Streptococcus mutans UA159,210007,ASM746v2,resolved,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans
GCF_000007485.1,GCF_000007485.1,Tropheryma whipplei str. Twist,203267,ASM748v1,resolved,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Micrococcales,Tropherymataceae,Tropheryma,Tropheryma whipplei
GCF_000007505.1,GCF_000007505.1,Brucella suis 1330,204722,ASM750v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella,Brucella suis
GCF_000007525.1,GCF_000007525.1,Bifidobacterium longum NCC2705,206672,ASM752v1,resolved,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum
GCF_000007545.1,GCF_000007545.1,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,209261,ASM754v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
GCF_000007565.2,GCF_000007565.2,Pseudomonas putida KT2440,160488,ASM756v2,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas putida
GCF_000007585.1,GCF_000007585.1,Porphyromonas gingivalis W83,242619,ASM758v1,resolved,Bacteria,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas gingivalis
GCF_000007605.1,GCF_000007605.1,Chlamydia caviae GPIC,227941,ASM760v1,resolved,Bacteria,Pseudomonadati,Chlamydiota,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia caviae
GCF_000007625.1,GCF_000007625.1,Clostridium tetani E88,212717,ASM762v1,resolved,Bacteria,Bacillati,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium tetani
GCF_000007645.1,GCF_000007645.1,Staphylococcus epidermidis ATCC 12228,176280,ASM764v1,resolved,Bacteria,Bacillati,Bacillota,Bacilli,Caryophanales,Staphylococcaceae,Staphylococcus,Staphylococcus epidermidis
GCF_000007665.1,GCF_000007665.1,Leifsonia xyli subsp. xyli str. CTCB07,281090,ASM766v1,resolved,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Leifsonia,Leifsonia xyli
GCF_000007685.1,GCF_000007685.1,Leptospira interrogans serovar Copenhageni str. Fiocruz L1-130,267671,ASM768v1,resolved,Bacteria,Pseudomonadati,Spirochaetota,Leptospiria,Leptospirales,Leptospiraceae,Leptospira,Leptospira interrogans
GCF_000007705.1,GCF_000007705.1,Chromobacterium violaceum ATCC 12472,243365,ASM770v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Chromobacterium,Chromobacterium violaceum
GCF_000007725.1,GCF_000007725.1,Buchnera aphidicola str. Bp (Baizongia pistaciae),224915,ASM772v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Buchnera,Buchnera aphidicola
GCF_000007745.1,GCF_000007745.1,[Mannheimia] succiniciproducens MBEL55E,221988,ASM774v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Basfia,[Mannheimia] succiniciproducens
GCF_000007765.1,,,,,missing,,,,,,,,
GCF_000007765.2,GCF_000007765.2,Coxiella burnetii RSA 493,227377,ASM776v2,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Legionellales,Coxiellaceae,Coxiella,Coxiella burnetii
GCF_000007785.1,GCF_000007785.1,Enterococcus faecalis V583,226185,ASM778v1,resolved,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis
GCF_000007805.1,GCF_000007805.1,Pseudomonas syringae pv. tomato str. DC3000,223283,ASM780v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas syringae group genomosp. 3
GCF_000007825.1,GCF_000007825.1,Bacillus cereus ATCC 14579,226900,ASM782v1,resolved,Bacteria,Bacillati,Bacillota,Bacilli,Caryophanales,Bacillaceae,Bacillus,Bacillus cereus
GCF_000007845.1,GCF_000007845.1,Bacillus anthracis str. Ames,198094,ASM784v1,resolved,Bacteria,Bacillati,Bacillota,Bacilli,Caryophanales,Bacillaceae,Bacillus,Bacillus anthracis
GCF_000007865.1,GCF_000007865.1,Mycobacterium avium subsp. paratuberculosis K-10,262316,ASM786v1,resolved,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium avium
GCF_000007885.1,GCF_000007885.1,Yersinia pestis biovar Microtus str. 91001,229193,ASM788v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pestis
GCF_000007905.1,GCF_000007905.1,Helicobacter hepaticus ATCC 51449,235279,ASM790v1,resolved,Bacteria,Pseudomonadati,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter hepaticus
GCF_000007925.1,GCF_000007925.1,Prochlorococcus marinus subsp. marinus str. CCMP1375,167539,ASM792v1,resolved,Bacteria,Bacillati,Cyanobacteriota,Cyanophyceae,Synechococcales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus marinus
GCF_000007945.1,GCF_000007945.1,[Haemophilus] ducreyi 35000HP,233412,ASM794v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,[Haemophilus] ducreyi
GCF_000007985.2,GCF_000007985.2,Geobacter sulfurreducens PCA,243231,ASM798v2,resolved,Bacteria,Pseudomonadati,Thermodesulfobacteriota,Desulfuromonadia,Geobacterales,Geobacteraceae,Geobacter,Geobacter sulfurreducens
GCF_000008005.1,GCF_000008005.1,Bacillus cereus ATCC 10987,222523,ASM800v1,resolved,Bacteria,Bacillati,Bacillota,Bacilli,Caryophanales,Bacillaceae,Bacillus,Bacillus cereus
GCF_000008025.1,GCF_000008025.1,Wolbachia endosymbiont of Drosophila melanogaster,163164,ASM802v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont of Drosophila melanogaster
GCF_000008045.1,GCF_000008045.1,Rickettsia typhi str. Wilmington,257363,ASM804v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia typhi
GCF_000008065.1,GCF_000008065.1,Lactobacillus johnsonii NCC 533,257314,ASM806v1,resolved,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus johnsonii
GCF_000008105.1,GCF_000008105.1,Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67,321314,ASM810v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
GCF_000008125.1,GCF_000008125.1,Thermus thermophilus HB27,262724,ASM812v1,resolved,Bacteria,Thermotogati,Deinococcota,Deinococci,Thermales,Thermaceae,Thermus,Thermus thermophilus
GCF_000008145.1,GCF_000008145.1,Brucella abortus bv. 1 str. 9-941,262698,ASM814v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella,Brucella abortus
GCF_000008165.1,GCF_000008165.1,Bacillus anthracis str. Sterne,260799,ASM816v1,resolved,Bacteria,Bacillati,Bacillota,Bacilli,Caryophanales,Bacillaceae,Bacillus,Bacillus anthracis
GCF_000008185.1,GCF_000008185.1,Treponema denticola ATCC 35405,243275,ASM818v1,resolved,Bacteria,Pseudomonadati,Spirochaetota,Spirochaetia,Treponematales,Treponemataceae,Treponema,Treponema denticola
GCF_000008205.1,GCF_000008205.1,Mesomycoplasma hyopneumoniae J,262719,ASM820v1,resolved,Bacteria,Bacillati,Mycoplasmatota,,Mycoplasmoidales,Metamycoplasmataceae,Mesomycoplasma,Mesomycoplasma hyopneumoniae
GCF_000008225.1,GCF_000008225.1,Mesomycoplasma hyopneumoniae 7448,262722,ASM822v1,resolved,Bacteria,Bacillati,Mycoplasmatota,,Mycoplasmoidales,Metamycoplasmataceae,Mesomycoplasma,Mesomycoplasma hyopneumoniae
GCF_000008245.1,GCF_000008245.1,Mycoplasmopsis synoviae 53,262723,ASM824v1,resolved,Bacteria,Bacillati,Mycoplasmatota,,Mycoplasmoidales,Metamycoplasmataceae,Mycoplasmopsis,Mycoplasmopsis synoviae
GCF_000008265.1,GCF_000008265.1,Picrophilus oshimae DSM 9789,1122961,ASM826v1,resolved,Archaea,Methanobacteriati,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Picrophilaceae,Picrophilus,Picrophilus oshimae
GCF_000008285.1,GCF_000008285.1,Listeria monocytogenes serotype 4b str. F2365,265669,ASM828v1,resolved,Bacteria,Bacillati,Bacillota,Bacilli,Caryophanales,Listeriaceae,Listeria,Listeria monocytogenes
GCF_000008305.1,GCF_000008305.1,Mesoplasma florum L1,265311,ASM830v1,resolved,Bacteria,Bacillati,Mycoplasmatota,Mollicutes,Entomoplasmatales,Entomoplasmataceae,Mesoplasma,Mesoplasma florum
GCF_000008325.1,GCF_000008325.1,Methylococcus capsulatus str. Bath,243233,ASM832v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylococcus,Methylococcus capsulatus
GCF_000008345.1,GCF_000008345.1,Cutibacterium acnes KPA171202,267747,ASM834v1,resolved,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium acnes
GCF_000008365.1,GCF_000008365.1,Mycoplasma mobile 163K,267748,ASM836v1,resolved,Bacteria,Bacillati,Mycoplasmatota,,Mycoplasmoidales,Metamycoplasmataceae,Mesomycoplasma,[Mycoplasma] mobile
GCF_000008385.1,GCF_000008385.1,Wolbachia endosymbiont strain TRS of Brugia malayi,292805,ASM838v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont of Brugia malayi
GCF_000008405.1,GCF_000008405.1,Mesomycoplasma hyopneumoniae 232,295358,ASM840v1,resolved,Bacteria,Bacillati,Mycoplasmatota,,Mycoplasmoidales,Metamycoplasmataceae,Mesomycoplasma,Mesomycoplasma hyopneumoniae
GCF_000008425.1,GCF_000008425.1,Bacillus licheniformis DSM 13 = ATCC 14580,279010,ASM842v1,resolved,Bacteria,Bacillati,Bacillota,Bacilli,Caryophanales,Bacillaceae,Bacillus,Bacillus licheniformis
GCF_000008445.1,GCF_000008445.1,Bacillus anthracis str. 'Ames Ancestor',261594,ASM844v1,resolved,Bacteria,Bacillati,Bacillota,Bacilli,Caryophanales,Bacillaceae,Bacillus,Bacillus anthracis
GCF_000008465.1,GCF_000008465.1,Idiomarina loihiensis L2TR,283942,ASM846v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,Idiomarina loihiensis
GCF_000008485.1,GCF_000008485.1,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,272624,ASM848v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella pneumophila
GCF_000008505.1,GCF_000008505.1,[Bacillus thuringiensis] serovar konkukian str. 97-27,281309,ASM850v1,resolved,Bacteria,Bacillati,Bacillota,Bacilli,Caryophanales,Bacillaceae,Bacillus,Bacillus thuringiensis
GCF_000008525.1,GCF_000008525.1,Helicobacter pylori 26695,85962,ASM852v1,resolved,Bacteria,Pseudomonadati,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori
GCF_000008545.1,GCF_000008545.1,Thermotoga maritima MSB8,243274,ASM854v1,resolved,Bacteria,Thermotogati,Thermotogota,Thermotogae,Thermotogales,Thermotogaceae,Thermotoga,Thermotoga maritima
GCF_000008565.1,GCF_000008565.1,Deinococcus radiodurans R1 = ATCC 13939 = DSM 20539,243230,ASM856v1,resolved,Bacteria,Thermotogati,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus radiodurans
GCF_000008585.1,GCF_000008585.1,Mycobacterium tuberculosis CDC1551,83331,ASM858v1,resolved,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium tuberculosis
GCF_000008605.1,GCF_000008605.1,Treponema pallidum subsp. pallidum str. Nichols,243276,ASM860v1,resolved,Bacteria,Pseudomonadati,Spirochaetota,Spirochaetia,Treponematales,Treponemataceae,Treponema,Treponema pallidum
GCF_000008625.1,GCF_000008625.1,Aquifex aeolicus VF5,224324,ASM862v1,resolved,Bacteria,Pseudomonadati,Aquificota,Aquificia,Aquificales,Aquificaceae,Aquifex,Aquifex aeolicus
GCF_000008645.1,GCF_000008645.1,Methanothermobacter thermautotrophicus str. Delta H,187420,ASM864v1,resolved,Archaea,Methanobacteriati,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter,Methanothermobacter thermautotrophicus
GCF_000008665.1,GCF_000008665.1,Archaeoglobus fulgidus DSM 4304,224325,ASM866v1,resolved,Archaea,Methanobacteriati,Methanobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,Archaeoglobus fulgidus
GCF_000008685.2,GCF_000008685.2,Borreliella burgdorferi B31,224326,ASM868v2,resolved,Bacteria,Pseudomonadati,Spirochaetota,Spirochaetia,Spirochaetales,Borreliaceae,Borreliella,Borreliella burgdorferi
GCF_000008725.1,GCF_000008725.1,Chlamydia trachomatis D/UW-3/CX,272561,ASM872v1,resolved,Bacteria,Pseudomonadati,Chlamydiota,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia trachomatis
GCF_000008745.1,GCF_000008745.1,Chlamydia pneumoniae CWL029,115713,ASM874v1,resolved,Bacteria,Pseudomonadati,Chlamydiota,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia pneumoniae
GCF_000008765.1,GCF_000008765.1,Clostridium acetobutylicum ATCC 824,272562,ASM876v1,resolved,Bacteria,Bacillati,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium acetobutylicum
GCF_000008785.1,GCF_000008785.1,Helicobacter pylori J99,85963,ASM878v1,resolved,Bacteria,Pseudomonadati,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori
GCF_000008805.1,GCF_000008805.1,Neisseria meningitidis MC58,122586,ASM880v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria meningitidis
GCF_000008865.1,,,,,missing,,,,,,,,
GCF_000008865.2,GCF_000008865.2,Escherichia coli O157:H7 str. Sakai,386585,ASM886v2,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
GCF_000008885.1,GCF_000008885.1,Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis,36870,ASM888v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Wigglesworthia,Wigglesworthia glossinidia
GCF_000008925.1,GCF_000008925.1,Ligilactobacillus salivarius UCC118,362948,ASM892v1,resolved,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus salivarius
GCF_000008945.1,GCF_000008945.1,Bifidobacterium longum DJO10A,205913,ASM894v1,resolved,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum
GCF_000008985.1,GCF_000008985.1,Francisella tularensis subsp. tularensis SCHU S4,177416,ASM898v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella tularensis
GCF_000009005.1,GCF_000009005.1,Staphylococcus aureus RF122,273036,ASM900v1,resolved,Bacteria,Bacillati,Bacillota,Bacilli,Caryophanales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
GCF_000009025.1,GCF_000009025.1,Dehalococcoides mccartyi CBDB1,255470,ASM902v1,resolved,Bacteria,Bacillati,Chloroflexota,Dehalococcoidia,Dehalococcoidales,Dehalococcoidaceae,Dehalococcoides,Dehalococcoides mccartyi
